t,personi,alpha,friendWeightedAvgAlpha,friendAvgAlpha,friendStdAlpha
3.8303482011538232,16,1.6000000000000001,7.571240413521279,7.3000000000000007,2.0
3.8303482011538232,17,1.7000000000000002,3.1000000000000001,3.1000000000000001,0.0
3.8303482011538232,18,1.8,2.7000000000000002,2.7000000000000002,0.0
3.8303482011538232,19,1.9000000000000001,3.4388428157746023,3.0333333333333337,3.12018517968975
3.8303482011538232,20,2.0,5.1016972880465108,7.0500000000000007,2.1500000000000004
3.8303482011538232,21,2.1000000000000001,5.3503247028608589,5.5500000000000007,0.35000000000000009
3.8303482011538232,22,2.2000000000000002,5.0,5.0,0.0
3.8303482011538232,23,2.3000000000000003,7.9000000000000004,7.9000000000000004,0.0
3.8303482011538232,24,2.4000000000000004,6.9999999999999991,7.0,0.0
3.8303482011538232,25,2.5,3.3839507233301291,6.5333333333333341,3.0070288030250429
3.8303482011538232,26,2.6000000000000001,2.5,2.5,0.0
3.8303482011538232,27,2.7000000000000002,1.5570725561461276,1.4500000000000002,0.34999999999999998
3.8303482011538232,28,2.8000000000000003,4.5371813100996921,5.4666666666666659,2.0677416559027768
3.8303482011538232,29,2.9000000000000004,3.4450419311676241,3.6500000000000004,2.6500000000000004
3.8303482011538232,30,3.0,7.756286247031797,7.9333333333333336,0.75865377844940263
3.8303482011538232,31,3.1000000000000001,1.7000000000000002,1.7000000000000002,0.0
3.8303482011538232,32,3.2000000000000002,4.0031685997385376,4.3000000000000007,1.5000000000000002
3.8303482011538232,33,3.3000000000000003,4.6769884582535912,5.8000000000000007,3.7416573867739422
3.8303482011538232,34,3.4000000000000004,-1,-1,-1
3.8303482011538232,35,3.5,5.6729557603508836,6.4500000000000002,1.5499999999999998
3.8303482011538232,36,3.6000000000000001,7.3000000000000007,7.3000000000000007,0.0
3.8303482011538232,37,3.7000000000000002,5.8000000000000007,5.8000000000000007,0.0
3.8303482011538232,38,3.8000000000000003,4.5,4.5,0.0
3.8303482011538232,39,3.9000000000000004,7.1072140868828857,7.2000000000000002,0.66833125519211389
3.8303482011538232,40,4.0,4.2999999999999998,4.2999999999999998,0.0
3.8303482011538232,41,4.1000000000000005,9.7455797406500473,9.8000000000000007,0.099999999999999645
3.8303482011538232,42,4.2000000000000002,5.6000000000000005,5.6000000000000005,0.0
3.8303482011538232,43,4.2999999999999998,4.0,4.0,0.0
3.8303482011538232,44,4.4000000000000004,7.1999999999999993,7.2000000000000002,0.0
3.8303482011538232,45,4.5,4.6341785559870967,5.6000000000000005,1.8
3.8303482011538232,46,4.6000000000000005,7.6999999999999993,7.7000000000000002,0.0
3.8303482011538232,47,4.7000000000000002,6.5206488323409157,7.3499999999999996,1.2499999999999996
3.8303482011538232,48,4.8000000000000007,7.4999999999999991,7.5,0.0
3.8303482011538232,49,4.9000000000000004,2.8542977442346569,2.75,0.75
3.8303482011538232,50,5.0,3.4705760210107752,3.6666666666666665,1.667999467092907
3.8303482011538232,51,5.1000000000000005,6.8000000000000007,6.8000000000000007,0.0
3.8303482011538232,52,5.2000000000000002,5.7269817430971592,5.4000000000000004,3.3000000000000007
3.8303482011538232,53,5.3000000000000007,6.4847311992785075,4.3500000000000005,2.7500000000000004
3.8303482011538232,54,5.4000000000000004,6.5946992435616494,6.8000000000000007,0.30000000000000027
3.8303482011538232,55,5.5,8.4259513923613909,8.5,0.29999999999999982
3.8303482011538232,56,5.6000000000000005,4.8847698937114252,5.0500000000000007,0.85000000000000009
3.8303482011538232,57,5.7000000000000002,7.5857514315929118,8.0666666666666682,0.81785627642568615
3.8303482011538232,58,5.8000000000000007,3.5298351643362902,3.4500000000000002,0.25
3.8303482011538232,59,5.9000000000000004,6.6557184226056565,5.2666666666666666,2.4608038433722332
3.8303482011538232,60,6.0,6.9542703145603264,6.3000000000000007,1.3000000000000003
3.8303482011538232,61,6.1000000000000005,7.4824370780430502,7.8666666666666671,2.2395436042987766
3.8303482011538232,62,6.2000000000000002,-1,-1,-1
3.8303482011538232,63,6.3000000000000007,2.3421268760833085,1.9000000000000001,1.0
3.8303482011538232,64,6.4000000000000004,7.7999999999999998,7.8000000000000007,0.0
3.8303482011538232,65,6.5,4.9558673931324924,4.6500000000000004,0.75
