t,degree,alpha,personi
1.4970710640401008,2,2.9000000000000004,29
1.4970710640401008,1,3.0,30
1.4970710640401008,0,3.1,31
1.4970710640401008,1,3.2,32
1.4970710640401008,2,3.3000000000000003,33
1.4970710640401008,2,3.4000000000000004,34
1.4970710640401008,0,3.5,35
1.4970710640401008,1,3.6,36
1.4970710640401008,1,3.7,37
1.4970710640401008,2,3.8000000000000003,38
1.4970710640401008,1,3.9000000000000004,39
1.4970710640401008,1,4.0,40
1.4970710640401008,1,4.1000000000000005,41
1.4970710640401008,1,4.2,42
1.4970710640401008,2,4.3,43
1.4970710640401008,2,4.4,44
1.4970710640401008,3,4.5,45
1.4970710640401008,2,4.6000000000000005,46
1.4970710640401008,4,4.7,47
1.4970710640401008,1,4.800000000000001,48
1.4970710640401008,3,4.9,49
1.4970710640401008,1,5.0,50
1.4970710640401008,0,5.1000000000000005,51
1.4970710640401008,0,5.2,52
1.4970710640401008,2,5.300000000000001,53
1.4970710640401008,0,5.4,54
1.4970710640401008,2,5.5,55
1.4970710640401008,1,5.6000000000000005,56
1.4970710640401008,0,5.7,57
1.4970710640401008,0,5.800000000000001,58
1.4970710640401008,0,5.9,59
1.4970710640401008,1,6.0,60
1.4970710640401008,1,6.1000000000000005,61
1.4970710640401008,1,6.2,62
1.4970710640401008,1,6.300000000000001,63
1.4970710640401008,1,6.4,64
1.4970710640401008,3,6.5,65
1.4970710640401008,2,6.6000000000000005,66
1.4970710640401008,1,6.7,67
1.4970710640401008,0,6.800000000000001,68
1.4970710640401008,1,6.9,69
1.4970710640401008,1,7.0,70
1.4970710640401008,2,7.1000000000000005,71
1.4970710640401008,0,7.2,72
1.4970710640401008,0,7.300000000000001,73
1.4970710640401008,2,7.4,74
1.4970710640401008,1,7.5,75
1.4970710640401008,2,7.6000000000000005,76
1.4970710640401008,2,7.7,77
1.4970710640401008,0,7.800000000000001,78
1.4970710640401008,0,7.9,79
1.4970710640401008,2,8.0,80
1.4970710640401008,2,8.1,81
1.4970710640401008,0,8.200000000000001,82
1.4970710640401008,1,8.3,83
1.4970710640401008,0,8.4,84
1.4970710640401008,1,8.5,85
1.4970710640401008,1,8.6,86
1.4970710640401008,3,8.700000000000001,87
1.4970710640401008,1,8.8,88
1.4970710640401008,0,8.9,89
1.4970710640401008,1,9.0,90
1.4970710640401008,1,9.1,91
1.4970710640401008,1,9.200000000000001,92
1.4970710640401008,2,9.3,93
1.4970710640401008,3,9.4,94
1.4970710640401008,1,9.5,95
1.4970710640401008,0,9.600000000000001,96
1.4970710640401008,1,9.700000000000001,97
1.4970710640401008,0,9.8,98
1.4970710640401008,1,9.9,99
1.5432612006438227,0,0.0,0
1.5432612006438227,0,0.1,1
1.5432612006438227,1,0.2,2
1.5432612006438227,1,0.30000000000000004,3
1.5432612006438227,1,0.4,4
1.5432612006438227,0,0.5,5
1.5432612006438227,1,0.6000000000000001,6
1.5432612006438227,1,0.7000000000000001,7
1.5432612006438227,1,0.8,8
1.5432612006438227,0,0.9,9
1.5432612006438227,1,1.0,10
1.5432612006438227,2,1.1,11
1.5432612006438227,0,1.2000000000000002,12
1.5432612006438227,0,1.3,13
1.5432612006438227,1,1.4000000000000001,14
1.5432612006438227,1,1.5,15
1.5432612006438227,1,1.6,16
1.5432612006438227,1,1.7000000000000002,17
1.5432612006438227,1,1.8,18
1.5432612006438227,1,1.9000000000000001,19
1.5432612006438227,1,2.0,20
1.5432612006438227,0,2.1,21
1.5432612006438227,1,2.2,22
1.5432612006438227,1,2.3000000000000003,23
1.5432612006438227,2,2.4000000000000004,24
1.5432612006438227,1,2.5,25
1.5432612006438227,1,2.6,26
1.5432612006438227,1,2.7,27
1.5432612006438227,1,2.8000000000000003,28
1.5432612006438227,2,2.9000000000000004,29
1.5432612006438227,1,3.0,30
1.5432612006438227,0,3.1,31
1.5432612006438227,1,3.2,32
1.5432612006438227,2,3.3000000000000003,33
1.5432612006438227,2,3.4000000000000004,34
1.5432612006438227,0,3.5,35
1.5432612006438227,1,3.6,36
1.5432612006438227,1,3.7,37
1.5432612006438227,2,3.8000000000000003,38
1.5432612006438227,1,3.9000000000000004,39
1.5432612006438227,1,4.0,40
1.5432612006438227,1,4.1000000000000005,41
1.5432612006438227,1,4.2,42
1.5432612006438227,2,4.3,43
1.5432612006438227,2,4.4,44
1.5432612006438227,3,4.5,45
1.5432612006438227,2,4.6000000000000005,46
1.5432612006438227,4,4.7,47
1.5432612006438227,1,4.800000000000001,48
1.5432612006438227,3,4.9,49
1.5432612006438227,1,5.0,50
1.5432612006438227,0,5.1000000000000005,51
1.5432612006438227,0,5.2,52
1.5432612006438227,3,5.300000000000001,53
1.5432612006438227,0,5.4,54
1.5432612006438227,2,5.5,55
1.5432612006438227,1,5.6000000000000005,56
1.5432612006438227,0,5.7,57
1.5432612006438227,0,5.800000000000001,58
1.5432612006438227,0,5.9,59
1.5432612006438227,1,6.0,60
1.5432612006438227,1,6.1000000000000005,61
1.5432612006438227,1,6.2,62
1.5432612006438227,1,6.300000000000001,63
1.5432612006438227,1,6.4,64
1.5432612006438227,3,6.5,65
1.5432612006438227,2,6.6000000000000005,66
1.5432612006438227,1,6.7,67
1.5432612006438227,0,6.800000000000001,68
1.5432612006438227,1,6.9,69
1.5432612006438227,1,7.0,70
1.5432612006438227,2,7.1000000000000005,71
1.5432612006438227,0,7.2,72
1.5432612006438227,0,7.300000000000001,73
1.5432612006438227,2,7.4,74
1.5432612006438227,1,7.5,75
1.5432612006438227,2,7.6000000000000005,76
1.5432612006438227,2,7.7,77
1.5432612006438227,0,7.800000000000001,78
1.5432612006438227,0,7.9,79
1.5432612006438227,2,8.0,80
1.5432612006438227,2,8.1,81
1.5432612006438227,0,8.200000000000001,82
1.5432612006438227,1,8.3,83
1.5432612006438227,0,8.4,84
1.5432612006438227,1,8.5,85
1.5432612006438227,1,8.6,86
1.5432612006438227,3,8.700000000000001,87
1.5432612006438227,1,8.8,88
1.5432612006438227,0,8.9,89
1.5432612006438227,1,9.0,90
1.5432612006438227,1,9.1,91
1.5432612006438227,1,9.200000000000001,92
1.5432612006438227,2,9.3,93
1.5432612006438227,3,9.4,94
1.5432612006438227,1,9.5,95
1.5432612006438227,0,9.600000000000001,96
1.5432612006438227,1,9.700000000000001,97
1.5432612006438227,0,9.8,98
1.5432612006438227,1,9.9,99
1.576861931811569,0,0.0,0
1.576861931811569,0,0.1,1
1.576861931811569,1,0.2,2
1.576861931811569,1,0.30000000000000004,3
1.576861931811569,1,0.4,4
1.576861931811569,0,0.5,5
1.576861931811569,1,0.6000000000000001,6
1.576861931811569,1,0.7000000000000001,7
1.576861931811569,1,0.8,8
1.576861931811569,0,0.9,9
1.576861931811569,1,1.0,10
1.576861931811569,2,1.1,11
1.576861931811569,0,1.2000000000000002,12
1.576861931811569,1,1.3,13
1.576861931811569,1,1.4000000000000001,14
1.576861931811569,1,1.5,15
1.576861931811569,1,1.6,16
1.576861931811569,1,1.7000000000000002,17
1.576861931811569,1,1.8,18
1.576861931811569,1,1.9000000000000001,19
1.576861931811569,1,2.0,20
1.576861931811569,0,2.1,21
1.576861931811569,1,2.2,22
1.576861931811569,1,2.3000000000000003,23
1.576861931811569,2,2.4000000000000004,24
1.576861931811569,1,2.5,25
1.576861931811569,1,2.6,26
1.576861931811569,1,2.7,27
1.576861931811569,1,2.8000000000000003,28
1.576861931811569,2,2.9000000000000004,29
1.576861931811569,1,3.0,30
